Ord_id;Prod_id;Ship_id;Cust_id;Sales;Discount;Order_Quantity;Product_Base_Margin;Customer_Name;Province;Region;Customer_Segment;Cust_id;Order_Date;Order_Priority;Ord_id;Order_ID;Ship_Mode;Ship_Date;Ship_id;Product_Category;Product_Sub_Category;Prod_id
Ord_1004;Prod_7;SHP_1391;Cust_365;8566;0,04;39;0,52;PARHENA NORRIS;MANITOBA;PRARIE;HOME OFFICE;Cust_365;2012-07-20;NOT SPECIFIED;Ord_1004;49927;REGULAR AIR;2012-07-21;SHP_1391;OFFICE SUPPLIES;RUBBER BANDS;Prod_7
Ord_1005;Prod_13;SHP_1392;Cust_377;3548;0,09;14;0,59;CHAD SIEVERT;MANITOBA;PRARIE;CORPORATE;Cust_377;2010-01-18;HIGH;Ord_1005;50048;REGULAR AIR;2010-01-20;SHP_1392;OFFICE SUPPLIES;PENS & ART SUPPLIES;Prod_13
Ord_1005;Prod_16;SHP_1392;Cust_377;15;0,05;1;0,58;CHAD SIEVERT;MANITOBA;PRARIE;CORPORATE;Cust_377;2010-01-18;HIGH;Ord_1005;50048;REGULAR AIR;2010-01-20;SHP_1392;OFFICE SUPPLIES;SCISSORS, RULERS AND TRIMMERS;Prod_16
Ord_1006;Prod_2;SHP_1393;Cust_378;175841;0,06;18;0,57;BRIAN DERR;MANITOBA;PRARIE;SMALL BUSINESS;Cust_378;2011-10-12;NOT SPECIFIED;Ord_1006;50499;DELIVERY TRUCK;2011-10-13;SHP_1393;OFFICE SUPPLIES;APPLIANCES;Prod_2
Ord_1007;Prod_4;SHP_1394;Cust_379;2766818;0,03;47;0,55;NEIL DUCICH;MANITOBA;PRARIE;HOME OFFICE;Cust_379;2010-07-29;HIGH;Ord_1007;51041;REGULAR AIR;2010-07-30;SHP_1394;TECHNOLOGY;TELEPHONES AND COMMUNICATION;Prod_4
Ord_1008;Prod_5;SHP_1395;Cust_380;68967;0,07;38;0,47;SARAH JORDON;MANITOBA;PRARIE;CONSUMER;Cust_380;2010-10-26;LOW;Ord_1008;51328;REGULAR AIR;2010-10-31;SHP_1395;FURNITURE;OFFICE FURNISHINGS;Prod_5
Ord_1009;Prod_17;SHP_1396;Cust_366;221979;0,01;30;0,37;THEONE PIPPENGER;MANITOBA;PRARIE;CORPORATE;Cust_366;2012-10-04;NOT SPECIFIED;Ord_1009;51333;DELIVERY TRUCK;2012-10-06;SHP_1396;TECHNOLOGY;OFFICE MACHINES;Prod_17
Ord_1009;Prod_6;SHP_1397;Cust_366;23736;0,07;25;0,04;THEONE PIPPENGER;MANITOBA;PRARIE;CORPORATE;Cust_366;2012-10-04;NOT SPECIFIED;Ord_1009;51333;REGULAR AIR;2012-10-06;SHP_1397;OFFICE SUPPLIES;PAPER;Prod_6
Ord_101;Prod_4;SHP_139;Cust_73;13648025;0,07;29;0,83;FRANK PRICE;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;CORPORATE;Cust_73;2012-04-09;NOT SPECIFIED;Ord_101;16193;REGULAR AIR;2012-04-11;SHP_139;TECHNOLOGY;TELEPHONES AND COMMUNICATION;Prod_4
Ord_101;Prod_1;SHP_139;Cust_73;3002;0;8;0,57;FRANK PRICE;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;CORPORATE;Cust_73;2012-04-09;NOT SPECIFIED;Ord_101;16193;REGULAR AIR;2012-04-11;SHP_139;OFFICE SUPPLIES;STORAGE & ORGANIZATION;Prod_1
Ord_1010;Prod_11;SHP_1399;Cust_366;40518;0,01;35;0,63;THEONE PIPPENGER;MANITOBA;PRARIE;CORPORATE;Cust_366;2012-08-07;HIGH;Ord_1010;51365;DELIVERY TRUCK;2012-08-08;SHP_1399;FURNITURE;TABLES;Prod_11
Ord_1010;Prod_5;SHP_1398;Cust_366;19523;0,08;35;0,41;THEONE PIPPENGER;MANITOBA;PRARIE;CORPORATE;Cust_366;2012-08-07;HIGH;Ord_1010;51365;REGULAR AIR;2012-08-09;SHP_1398;FURNITURE;OFFICE FURNISHINGS;Prod_5
Ord_1011;Prod_3;SHP_1400;Cust_381;346597;0,08;4;0,38;MIKE KENNEDY;MANITOBA;PRARIE;SMALL BUSINESS;Cust_381;2011-02-19;MEDIUM;Ord_1011;51777;REGULAR AIR;2011-02-20;SHP_1400;OFFICE SUPPLIES;BINDERS AND BINDER ACCESSORIES;Prod_3
Ord_1011;Prod_8;SHP_1401;Cust_381;130788;0,06;13;0,46;MIKE KENNEDY;MANITOBA;PRARIE;SMALL BUSINESS;Cust_381;2011-02-19;MEDIUM;Ord_1011;51777;REGULAR AIR;2011-02-21;SHP_1401;TECHNOLOGY;COMPUTER PERIPHERALS;Prod_8
Ord_1012;Prod_3;SHP_1402;Cust_382;10451;0,04;13;0,35;MICHAEL GRANLUND;MANITOBA;PRARIE;HOME OFFICE;Cust_382;2010-09-24;CRITICAL;Ord_1012;51814;REGULAR AIR;2010-09-26;SHP_1402;OFFICE SUPPLIES;BINDERS AND BINDER ACCESSORIES;Prod_3
Ord_1013;Prod_4;SHP_1403;Cust_382;10647865;0,01;12;0,58;MICHAEL GRANLUND;MANITOBA;PRARIE;HOME OFFICE;Cust_382;2009-12-18;LOW;Ord_1013;51975;REGULAR AIR;2009-12-22;SHP_1403;TECHNOLOGY;TELEPHONES AND COMMUNICATION;Prod_4
Ord_1014;Prod_6;SHP_1404;Cust_368;18179;0,06;33;0,36;DANA KAYDOS;MANITOBA;PRARIE;CORPORATE;Cust_368;2012-04-12;CRITICAL;Ord_1014;52225;REGULAR AIR;2012-04-13;SHP_1404;OFFICE SUPPLIES;PAPER;Prod_6
Ord_1014;Prod_5;SHP_1404;Cust_368;13109;0,01;10;0,55;DANA KAYDOS;MANITOBA;PRARIE;CORPORATE;Cust_368;2012-04-12;CRITICAL;Ord_1014;52225;REGULAR AIR;2012-04-13;SHP_1404;FURNITURE;OFFICE FURNISHINGS;Prod_5
Ord_1015;Prod_9;SHP_1405;Cust_370;12406;0,09;17;0,38;NATHAN MAUTZ;MANITOBA;PRARIE;CORPORATE;Cust_370;2009-06-01;CRITICAL;Ord_1015;52487;REGULAR AIR;2009-06-02;SHP_1405;OFFICE SUPPLIES;ENVELOPES;Prod_9
Ord_1016;Prod_8;SHP_1406;Cust_383;13805;0,09;19;0,69;KEN HEIDEL;MANITOBA;PRARIE;CORPORATE;Cust_383;2011-02-16;LOW;Ord_1016;52868;REGULAR AIR;2011-02-18;SHP_1406;TECHNOLOGY;COMPUTER PERIPHERALS;Prod_8
Ord_1017;Prod_5;SHP_1407;Cust_384;43344;0,01;29;0,46;ART FERGUSON;MANITOBA;PRARIE;CORPORATE;Cust_384;2012-02-26;NOT SPECIFIED;Ord_1017;53221;REGULAR AIR;2012-02-27;SHP_1407;FURNITURE;OFFICE FURNISHINGS;Prod_5
Ord_1018;Prod_3;SHP_1408;Cust_362;5559;0,03;8;0,36;ROLAND BLACK;MANITOBA;PRARIE;SMALL BUSINESS;Cust_362;2012-07-10;MEDIUM;Ord_1018;53600;EXPRESS AIR;2012-07-11;SHP_1408;OFFICE SUPPLIES;BINDERS AND BINDER ACCESSORIES;Prod_3
Ord_1019;Prod_4;SHP_1409;Cust_385;481049;0,09;16;0,55;STEVE CARROLL;MANITOBA;PRARIE;CONSUMER;Cust_385;2012-05-17;MEDIUM;Ord_1019;53667;REGULAR AIR;2012-05-19;SHP_1409;TECHNOLOGY;TELEPHONES AND COMMUNICATION;Prod_4
Ord_1019;Prod_3;SHP_1409;Cust_385;11236;0,08;33;0,04;STEVE CARROLL;MANITOBA;PRARIE;CONSUMER;Cust_385;2012-05-17;MEDIUM;Ord_1019;53667;REGULAR AIR;2012-05-19;SHP_1409;OFFICE SUPPLIES;BINDERS AND BINDER ACCESSORIES;Prod_3
Ord_102;Prod_6;SHP_140;Cust_43;12821;0,05;19;0,37;BRYAN DAVIS;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;CORPORATE;Cust_43;2012-08-05;MEDIUM;Ord_102;16423;REGULAR AIR;2012-08-07;SHP_140;OFFICE SUPPLIES;PAPER;Prod_6
Ord_1020;Prod_4;SHP_4314;Cust_1143;2570944;0,03;25;0,58;NATHAN MAUTZ;NEW BRUNSWICK;ATLANTIC;HOME OFFICE;Cust_1143;2009-01-22;HIGH;Ord_1020;53891;EXPRESS AIR;2009-01-23;SHP_4314;TECHNOLOGY;TELEPHONES AND COMMUNICATION;Prod_4
Ord_1020;Prod_8;SHP_4313;Cust_1143;458473;0,07;27;0,48;NATHAN MAUTZ;NEW BRUNSWICK;ATLANTIC;HOME OFFICE;Cust_1143;2009-01-22;HIGH;Ord_1020;53891;REGULAR AIR;2009-01-23;SHP_4313;TECHNOLOGY;COMPUTER PERIPHERALS;Prod_8
Ord_1020;Prod_5;SHP_4314;Cust_1143;403972;0,02;44;0,67;NATHAN MAUTZ;NEW BRUNSWICK;ATLANTIC;HOME OFFICE;Cust_1143;2009-01-22;HIGH;Ord_1020;53891;EXPRESS AIR;2009-01-23;SHP_4314;FURNITURE;OFFICE FURNISHINGS;Prod_5
Ord_1020;Prod_3;SHP_1410;Cust_386;5628;0,02;36;0,36;NATHAN MAUTZ;MANITOBA;PRARIE;HOME OFFICE;Cust_386;2009-01-22;HIGH;Ord_1020;53891;REGULAR AIR;2009-01-22;SHP_1410;OFFICE SUPPLIES;BINDERS AND BINDER ACCESSORIES;Prod_3
Ord_1021;Prod_15;SHP_1411;Cust_387;554499;0,04;43;0,78;MATT ABELMAN;MANITOBA;PRARIE;HOME OFFICE;Cust_387;2011-03-04;CRITICAL;Ord_1021;53955;DELIVERY TRUCK;2011-03-06;SHP_1411;FURNITURE;CHAIRS & CHAIRMATS;Prod_15
Ord_1022;Prod_4;SHP_1412;Cust_363;20116355;0,01;12;0,59;BART WATTERS;MANITOBA;PRARIE;CORPORATE;Cust_363;2011-06-22;CRITICAL;Ord_1022;54150;EXPRESS AIR;2011-06-22;SHP_1412;TECHNOLOGY;TELEPHONES AND COMMUNICATION;Prod_4
Ord_1023;Prod_6;SHP_1413;Cust_388;26059;0,09;43;0,37;NATHAN CANO;MANITOBA;PRARIE;CONSUMER;Cust_388;2009-06-29;HIGH;Ord_1023;55429;REGULAR AIR;2009-07-01;SHP_1413;OFFICE SUPPLIES;PAPER;Prod_6
Ord_1024;Prod_4;SHP_1415;Cust_373;368373;0,09;35;0,59;SHAUN WEIEN;MANITOBA;PRARIE;HOME OFFICE;Cust_373;2012-03-27;MEDIUM;Ord_1024;55462;REGULAR AIR;2012-03-28;SHP_1415;TECHNOLOGY;TELEPHONES AND COMMUNICATION;Prod_4
Ord_1024;Prod_8;SHP_1415;Cust_373;118453;0,05;31;0,67;SHAUN WEIEN;MANITOBA;PRARIE;HOME OFFICE;Cust_373;2012-03-27;MEDIUM;Ord_1024;55462;REGULAR AIR;2012-03-28;SHP_1415;TECHNOLOGY;COMPUTER PERIPHERALS;Prod_8
Ord_1024;Prod_3;SHP_1414;Cust_373;7527;0,06;13;0,37;SHAUN WEIEN;MANITOBA;PRARIE;HOME OFFICE;Cust_373;2012-03-27;MEDIUM;Ord_1024;55462;REGULAR AIR;2012-03-29;SHP_1414;OFFICE SUPPLIES;BINDERS AND BINDER ACCESSORIES;Prod_3
Ord_1025;Prod_9;SHP_1416;Cust_376;3648;0,01;42;0,38;BRAD NORVELL;MANITOBA;PRARIE;CORPORATE;Cust_376;2012-05-03;CRITICAL;Ord_1025;55749;REGULAR AIR;2012-05-04;SHP_1416;OFFICE SUPPLIES;ENVELOPES;Prod_9
Ord_1026;Prod_17;SHP_1417;Cust_363;1560293;0;48;0,56;BART WATTERS;MANITOBA;PRARIE;CORPORATE;Cust_363;2011-11-19;LOW;Ord_1026;55873;DELIVERY TRUCK;2011-11-26;SHP_1417;TECHNOLOGY;OFFICE MACHINES;Prod_17
Ord_1027;Prod_10;SHP_1418;Cust_366;111882;0,04;8;0,77;THEONE PIPPENGER;MANITOBA;PRARIE;CORPORATE;Cust_366;2010-11-13;MEDIUM;Ord_1027;56135;DELIVERY TRUCK;2010-11-15;SHP_1418;FURNITURE;BOOKCASES;Prod_10
Ord_1027;Prod_7;SHP_1419;Cust_366;7975;0,01;48;0,49;THEONE PIPPENGER;MANITOBA;PRARIE;CORPORATE;Cust_366;2010-11-13;MEDIUM;Ord_1027;56135;REGULAR AIR;2010-11-14;SHP_1419;OFFICE SUPPLIES;RUBBER BANDS;Prod_7
Ord_1028;Prod_11;SHP_1420;Cust_384;1000628;0,01;36;0,78;ART FERGUSON;MANITOBA;PRARIE;CORPORATE;Cust_384;2012-12-02;NOT SPECIFIED;Ord_1028;56708;DELIVERY TRUCK;2012-12-02;SHP_1420;FURNITURE;TABLES;Prod_11
Ord_1028;Prod_9;SHP_1421;Cust_384;40717;0,04;36;0,35;ART FERGUSON;MANITOBA;PRARIE;CORPORATE;Cust_384;2012-12-02;NOT SPECIFIED;Ord_1028;56708;REGULAR AIR;2012-12-05;SHP_1421;OFFICE SUPPLIES;ENVELOPES;Prod_9
Ord_1029;Prod_2;SHP_1422;Cust_389;19993;0,01;14;0,43;DENNIS BOLTON;MANITOBA;PRARIE;SMALL BUSINESS;Cust_389;2010-10-29;HIGH;Ord_1029;57986;REGULAR AIR;2010-10-29;SHP_1422;OFFICE SUPPLIES;APPLIANCES;Prod_2
Ord_103;Prod_3;SHP_141;Cust_48;25279;0,09;9;0,35;DON JONES;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;CORPORATE;Cust_48;2009-07-22;NOT SPECIFIED;Ord_103;16451;REGULAR AIR;2009-07-23;SHP_141;OFFICE SUPPLIES;BINDERS AND BINDER ACCESSORIES;Prod_3
Ord_1030;Prod_1;SHP_1423;Cust_374;83481;0,03;22;0,57;MARY O'ROURKE;MANITOBA;PRARIE;HOME OFFICE;Cust_374;2009-02-23;CRITICAL;Ord_1030;58310;REGULAR AIR;2009-02-24;SHP_1423;OFFICE SUPPLIES;STORAGE & ORGANIZATION;Prod_1
Ord_1031;Prod_9;SHP_1424;Cust_390;33535;0,05;39;0,38;JOEL JENKINS;MANITOBA;PRARIE;CORPORATE;Cust_390;2010-05-20;NOT SPECIFIED;Ord_1031;58725;REGULAR AIR;2010-05-21;SHP_1424;OFFICE SUPPLIES;ENVELOPES;Prod_9
Ord_1031;Prod_6;SHP_1424;Cust_448;14831;0,03;20;0,38;JOEL JENKINS;ONTARIO;ONTARIO;CORPORATE;Cust_448;2010-05-20;NOT SPECIFIED;Ord_1031;58725;REGULAR AIR;2010-05-21;SHP_1424;OFFICE SUPPLIES;PAPER;Prod_6
Ord_1032;Prod_2;SHP_1425;Cust_391;192583;0,09;10;0,55;MEG O'CONNEL;MANITOBA;PRARIE;CORPORATE;Cust_391;2009-07-26;NOT SPECIFIED;Ord_1032;902;REGULAR AIR;2009-07-29;SHP_1425;OFFICE SUPPLIES;APPLIANCES;Prod_2
Ord_1033;Prod_2;SHP_1426;Cust_392;6051;0,04;15;0,57;HALLIE REDMOND;MANITOBA;PRARIE;HOME OFFICE;Cust_392;2012-09-05;NOT SPECIFIED;Ord_1033;2147;EXPRESS AIR;2012-09-07;SHP_1426;OFFICE SUPPLIES;APPLIANCES;Prod_2
Ord_1034;Prod_3;SHP_1427;Cust_393;1135;0,05;15;0,04;LIZ THOMPSON;MANITOBA;PRARIE;CORPORATE;Cust_393;2011-07-25;HIGH;Ord_1034;2306;REGULAR AIR;2011-07-27;SHP_1427;OFFICE SUPPLIES;BINDERS AND BINDER ACCESSORIES;Prod_3
Ord_1035;Prod_1;SHP_1429;Cust_394;475408;0;21;0,72;ROBERT WALDORF;MANITOBA;PRARIE;HOME OFFICE;Cust_394;2011-09-08;HIGH;Ord_1035;2823;DELIVERY TRUCK;2011-09-09;SHP_1429;OFFICE SUPPLIES;STORAGE & ORGANIZATION;Prod_1
Ord_1035;Prod_8;SHP_1428;Cust_394;35743;0,08;17;0,78;ROBERT WALDORF;MANITOBA;PRARIE;HOME OFFICE;Cust_394;2011-09-08;HIGH;Ord_1035;2823;REGULAR AIR;2011-09-09;SHP_1428;TECHNOLOGY;COMPUTER PERIPHERALS;Prod_8
Ord_1036;Prod_17;SHP_1430;Cust_395;160132;0,04;13;0,36;HELEN ANDREADA;MANITOBA;PRARIE;CORPORATE;Cust_395;2009-12-16;HIGH;Ord_1036;3110;DELIVERY TRUCK;2009-12-18;SHP_1430;TECHNOLOGY;OFFICE MACHINES;Prod_17
Ord_1037;Prod_6;SHP_1431;Cust_396;26475;0,08;43;0,37;JULIA DUNBAR;MANITOBA;PRARIE;CONSUMER;Cust_396;2010-08-17;CRITICAL;Ord_1037;3463;REGULAR AIR;2010-08-18;SHP_1431;OFFICE SUPPLIES;PAPER;Prod_6
Ord_1038;Prod_11;SHP_1433;Cust_397;572324;0;37;0,69;CHRISTINE SUNDARESAM;MANITOBA;PRARIE;SMALL BUSINESS;Cust_397;2010-11-13;NOT SPECIFIED;Ord_1038;4034;DELIVERY TRUCK;2010-11-14;SHP_1433;FURNITURE;TABLES;Prod_11
Ord_1038;Prod_5;SHP_1432;Cust_397;336724;0,07;44;0,74;CHRISTINE SUNDARESAM;MANITOBA;PRARIE;SMALL BUSINESS;Cust_397;2010-11-13;NOT SPECIFIED;Ord_1038;4034;REGULAR AIR;2010-11-14;SHP_1432;FURNITURE;OFFICE FURNISHINGS;Prod_5
Ord_1039;Prod_6;SHP_1434;Cust_398;18807;0;27;0,37;BRUCE STEWART;MANITOBA;PRARIE;CORPORATE;Cust_398;2010-03-23;HIGH;Ord_1039;4037;REGULAR AIR;2010-03-24;SHP_1434;OFFICE SUPPLIES;PAPER;Prod_6
Ord_104;Prod_16;SHP_142;Cust_62;1041999;0,04;1;0,83;CARLOS SOLTERO;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;SMALL BUSINESS;Cust_62;2010-05-09;NOT SPECIFIED;Ord_104;16545;REGULAR AIR;2010-05-11;SHP_142;OFFICE SUPPLIES;SCISSORS, RULERS AND TRIMMERS;Prod_16
Ord_104;Prod_13;SHP_142;Cust_62;5097;0,09;10;0,56;CARLOS SOLTERO;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;SMALL BUSINESS;Cust_62;2010-05-09;NOT SPECIFIED;Ord_104;16545;REGULAR AIR;2010-05-11;SHP_142;OFFICE SUPPLIES;PENS & ART SUPPLIES;Prod_13
Ord_1040;Prod_4;SHP_1437;Cust_396;430848;0,06;4;0,06;JULIA DUNBAR;MANITOBA;PRARIE;CONSUMER;Cust_396;2010-12-24;CRITICAL;Ord_1040;5538;REGULAR AIR;2010-12-27;SHP_1437;TECHNOLOGY;TELEPHONES AND COMMUNICATION;Prod_4
Ord_1040;Prod_11;SHP_1436;Cust_396;194031;0,03;13;0,71;JULIA DUNBAR;MANITOBA;PRARIE;CONSUMER;Cust_396;2010-12-24;CRITICAL;Ord_1040;5538;DELIVERY TRUCK;2010-12-25;SHP_1436;FURNITURE;TABLES;Prod_11
Ord_1040;Prod_3;SHP_1435;Cust_396;128128;0,05;43;0,37;JULIA DUNBAR;MANITOBA;PRARIE;CONSUMER;Cust_396;2010-12-24;CRITICAL;Ord_1040;5538;REGULAR AIR;2010-12-26;SHP_1435;OFFICE SUPPLIES;BINDERS AND BINDER ACCESSORIES;Prod_3
Ord_1041;Prod_5;SHP_1438;Cust_399;93321;0,05;40;0,51;GUY THORNTON;MANITOBA;PRARIE;CORPORATE;Cust_399;2010-11-21;MEDIUM;Ord_1041;5863;REGULAR AIR;2010-11-22;SHP_1438;FURNITURE;OFFICE FURNISHINGS;Prod_5
Ord_1042;Prod_10;SHP_1439;Cust_395;74825;0,05;10;0,06;HELEN ANDREADA;MANITOBA;PRARIE;CORPORATE;Cust_395;2010-02-07;CRITICAL;Ord_1042;7175;DELIVERY TRUCK;2010-02-09;SHP_1439;FURNITURE;BOOKCASES;Prod_10
Ord_1043;Prod_9;SHP_1440;Cust_400;26039;0,09;15;0,35;MARY ZEWE;MANITOBA;PRARIE;CORPORATE;Cust_400;2009-05-08;HIGH;Ord_1043;7364;REGULAR AIR;2009-05-10;SHP_1440;OFFICE SUPPLIES;ENVELOPES;Prod_9
Ord_1044;Prod_10;SHP_1441;Cust_391;390412;0,07;50;0,06;MEG O'CONNEL;MANITOBA;PRARIE;CORPORATE;Cust_391;2011-05-01;CRITICAL;Ord_1044;7878;DELIVERY TRUCK;2011-05-06;SHP_1441;FURNITURE;BOOKCASES;Prod_10
Ord_1044;Prod_5;SHP_1442;Cust_391;34364;0,06;41;0,49;MEG O'CONNEL;MANITOBA;PRARIE;CORPORATE;Cust_391;2011-05-01;CRITICAL;Ord_1044;7878;REGULAR AIR;2011-05-03;SHP_1442;FURNITURE;OFFICE FURNISHINGS;Prod_5
Ord_1045;Prod_7;SHP_1443;Cust_391;25664;0,03;42;0,54;MEG O'CONNEL;MANITOBA;PRARIE;CORPORATE;Cust_391;2011-05-01;LOW;Ord_1045;7878;REGULAR AIR;2011-05-08;SHP_1443;OFFICE SUPPLIES;RUBBER BANDS;Prod_7
Ord_1046;Prod_6;SHP_1445;Cust_391;22598;0,01;34;0,37;MEG O'CONNEL;MANITOBA;PRARIE;CORPORATE;Cust_391;2009-07-29;CRITICAL;Ord_1046;8551;REGULAR AIR;2009-07-31;SHP_1445;OFFICE SUPPLIES;PAPER;Prod_6
Ord_1046;Prod_3;SHP_1444;Cust_391;18564;0,01;25;0,04;MEG O'CONNEL;MANITOBA;PRARIE;CORPORATE;Cust_391;2009-07-29;CRITICAL;Ord_1046;8551;REGULAR AIR;2009-08-01;SHP_1444;OFFICE SUPPLIES;BINDERS AND BINDER ACCESSORIES;Prod_3
Ord_1047;Prod_17;SHP_1446;Cust_1145;668811;0,08;45;0,38;KEN LONSDALE;NEW BRUNSWICK;ATLANTIC;CONSUMER;Cust_1145;2010-11-08;HIGH;Ord_1047;8834;REGULAR AIR;2010-11-09;SHP_1446;TECHNOLOGY;OFFICE MACHINES;Prod_17
Ord_1047;Prod_5;SHP_1446;Cust_401;1673;0,08;1;0,48;KEN LONSDALE;MANITOBA;PRARIE;CONSUMER;Cust_401;2010-11-08;HIGH;Ord_1047;8834;REGULAR AIR;2010-11-09;SHP_1446;FURNITURE;OFFICE FURNISHINGS;Prod_5
Ord_1048;Prod_3;SHP_1447;Cust_401;5188;0,01;17;0,37;KEN LONSDALE;MANITOBA;PRARIE;CONSUMER;Cust_401;2012-08-30;CRITICAL;Ord_1048;9155;REGULAR AIR;2012-08-31;SHP_1447;OFFICE SUPPLIES;BINDERS AND BINDER ACCESSORIES;Prod_3
Ord_1049;Prod_3;SHP_1448;Cust_397;4267;0,06;10;0,37;CHRISTINE SUNDARESAM;MANITOBA;PRARIE;SMALL BUSINESS;Cust_397;2009-09-06;LOW;Ord_1049;9668;REGULAR AIR;2009-09-08;SHP_1448;OFFICE SUPPLIES;BINDERS AND BINDER ACCESSORIES;Prod_3
Ord_105;Prod_15;SHP_143;Cust_74;1055463;0,09;30;0,64;NICOLE HANSEN;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;CORPORATE;Cust_74;2009-02-18;NOT SPECIFIED;Ord_105;16547;DELIVERY TRUCK;2009-02-20;SHP_143;FURNITURE;CHAIRS & CHAIRMATS;Prod_15
Ord_105;Prod_11;SHP_144;Cust_74;174964;0,04;8;0,77;NICOLE HANSEN;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;CORPORATE;Cust_74;2009-02-18;NOT SPECIFIED;Ord_105;16547;DELIVERY TRUCK;2009-02-18;SHP_144;FURNITURE;TABLES;Prod_11
Ord_1050;Prod_5;SHP_1449;Cust_402;69088;0,08;32;0,51;MARIA BERTELSON;MANITOBA;PRARIE;HOME OFFICE;Cust_402;2010-12-12;MEDIUM;Ord_1050;10242;REGULAR AIR;2010-12-13;SHP_1449;FURNITURE;OFFICE FURNISHINGS;Prod_5
Ord_1051;Prod_8;SHP_1450;Cust_401;82424;0,01;32;0,75;KEN LONSDALE;MANITOBA;PRARIE;CONSUMER;Cust_401;2012-06-02;NOT SPECIFIED;Ord_1051;12292;REGULAR AIR;2012-06-02;SHP_1450;TECHNOLOGY;COMPUTER PERIPHERALS;Prod_8
